"","time","species","col_ext","predictor","df","aic","r2","delta_aic","lklhd","weight"
"32","Phase 1","predator","extinction","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,395.212061511989,0.058250648998434,1.02528768788659,0.598910059070185,0.244497254166696
"33","Phase 1","predator","extinction","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,395.578908357474,0.0553672624166101,1.39213453337175,0.498542086589355,0.203523332780337
"34","Phase 1","predator","extinction","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,397.020738582958,0.0597509380506144,2.8339647588557,0.242444519722848,0.0989748267912345
"35","Phase 1","predator","extinction","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,398.607501580921,0.0629832502565788,4.42072775681913,0.109660738079714,0.044767572266208
"36","Phase 2","predator","colonization","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,406.968630593401,0.684875213738851,0,1,0.575522001703832
"37","Phase 2","predator","colonization","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,408.550311036548,0.685971825077979,1.58168044314709,0.453463625250384,0.260978293303978
"38","Phase 2","predator","colonization","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,410.362638080105,0.686462562868688,3.3940074867038,0.183231711621384,0.105453881447958
"39","Phase 2","predator","colonization","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,412.56966080498,0.664268871887306,5.6010302115792,0.0607787470759966,0.0349795061782285
"40","Phase 2","predator","colonization","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,413.402438647944,0.667518647983522,6.43380805454285,0.0400789497147203,0.0230663173660031
"41","Phase 2","prey","extinction","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,284.731220985014,0.321597928578104,0,1,0.53519691131567
"42","Phase 2","prey","extinction","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,286.580526055704,0.322449325146411,1.84930507069055,0.396669223667336,0.212296143320743
"43","Phase 2","prey","extinction","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,287.108284482548,0.319462903853682,2.37706349753444,0.304668265387526,0.163057514611307
"44","Phase 2","prey","extinction","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,288.946881770611,0.32037762632868,4.21566078559727,0.121501290750309,0.0650271155304324
"45","Phase 2","prey","extinction","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,290.905495915204,0.320611975525667,6.17427493019011,0.0456323919392777,0.0244223152218475
